table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,1,"All returns, total",9,161336659.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,2,No adjusted gross income,10,3254225.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,3,"$1 under $5,000",11,8195781.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,4,"$5,000 under $10,000",12,8747727.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,5,"$10,000 under $15,000",13,9642321.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,6,"$15,000 under $20,000",14,9058382.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,7,"$20,000 under $25,000",15,8035277.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,8,"$25,000 under $30,000",16,8005289.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,9,"$30,000 under $40,000",17,15771561.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,10,"$40,000 under $50,000",18,13255063.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,11,"$50,000 under $75,000",19,23805797.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,12,"$75,000 under $100,000",20,15181035.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,13,"$100,000 under $200,000",21,25887136.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,14,"$200,000 under $500,000",22,10017626.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,15,"$500,000 under $1,000,000",23,1674608.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,16,"$1,000,000 under $1,500,000",24,360882.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,17,"$1,500,000 under $2,000,000",25,148221.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,18,"$2,000,000 under $5,000,000",26,208129.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,19,"$5,000,000 under $10,000,000",27,52968.0
tab14,2022,22in14ar.xls,agi,count,all,all,Number of returns,Number of returns | 1.0,B,2,20,"$10,000,000 or more",28,34630.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,1,"All returns, total",9,14833956956000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,2,No adjusted gross income,10,-164160281000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,3,"$1 under $5,000",11,19538869000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,4,"$5,000 under $10,000",12,66070756000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,5,"$10,000 under $15,000",13,120502825000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,6,"$15,000 under $20,000",14,157738693000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,7,"$20,000 under $25,000",15,180311082000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,8,"$25,000 under $30,000",16,219958083000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,9,"$30,000 under $40,000",17,550490149000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,10,"$40,000 under $50,000",18,593955496000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,11,"$50,000 under $75,000",19,1466486055000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,12,"$75,000 under $100,000",20,1315619561000.0
tab14,2022,22in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit | 2.0,C,3,13,"$100,000 under $200,000",21,3567047571000.0
