table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,20,"$10,000,000 or more",28,1477728359000.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,1,"All returns, total",9,126082290.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,2,No adjusted gross income,10,488212.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,3,"$1 under $5,000",11,4990145.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,4,"$5,000 under $10,000",12,6353567.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,5,"$10,000 under $15,000",13,6943210.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,6,"$15,000 under $20,000",14,6925718.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,7,"$20,000 under $25,000",15,6845285.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,8,"$25,000 under $30,000",16,7155012.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,9,"$30,000 under $40,000",17,13754153.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,10,"$40,000 under $50,000",18,10991851.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,11,"$50,000 under $75,000",19,19109110.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,12,"$75,000 under $100,000",20,12291548.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,13,"$100,000 under $200,000",21,20368720.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,14,"$200,000 under $500,000",22,7776331.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,15,"$500,000 under $1,000,000",23,1371980.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,16,"$1,000,000 under $1,500,000",24,314686.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,17,"$1,500,000 under $2,000,000",25,127464.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,18,"$2,000,000 under $5,000,000",26,188625.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,19,"$5,000,000 under $10,000,000",27,50463.0
tab14,2021,21in14ar.xls,wages,count,nz,all,Salaries and wages — number of returns,Salaries and wages | Number of returns,F,6,20,"$10,000,000 or more",28,36210.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,1,"All returns, total",9,9022352941000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,2,No adjusted gross income,10,23670507000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,3,"$1 under $5,000",11,20132275000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,4,"$5,000 under $10,000",12,48844902000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,5,"$10,000 under $15,000",13,83858745000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,6,"$15,000 under $20,000",14,112149988000.0
tab14,2021,21in14ar.xls,wages,amount,nz,all,Salaries and wages,Salaries and wages | Amount,G,7,7,"$20,000 under $25,000",15,140010172000.0
