table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,1,"All returns, total",9,160824340.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,2,No adjusted gross income (includes deficits),10,4098522.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,3,"$1 under $5,000",11,8487025.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,4,"$5,000 under $10,000",12,8944908.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,5,"$10,000 under $15,000",13,10056377.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,6,"$15,000 under $20,000",14,9786580.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,7,"$20,000 under $25,000",15,8863570.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,8,"$25,000 under $30,000",16,8787576.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,9,"$30,000 under $40,000",17,16123068.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,10,"$40,000 under $50,000",18,12782334.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,11,"$50,000 under $75,000",19,22653934.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,12,"$75,000 under $100,000",20,14657726.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,13,"$100,000 under $200,000",21,24044481.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,14,"$200,000 under $500,000",22,9045567.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,15,"$500,000 under $1,000,000",23,1617144.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,16,"$1,000,000 under $1,500,000",24,376859.0
tab12,2021,21in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns | -1.0,B,2,17,"$1,500,000 under $2,000,000",25,156020.0
