table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,1,All returns,10,160824340.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,2,No adjusted gross income,11,4098522.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,3,"$1 under $5,000",12,8487025.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,4,"$5,000 under $10,000",13,8944908.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,5,"$10,000 under $15,000",14,10056377.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,6,"$15,000 under $20,000",15,9786580.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,7,"$20,000 under $25,000",16,8863570.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,8,"$25,000 under $30,000",17,8787576.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,9,"$30,000 under $40,000",18,16123068.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,10,"$40,000 under $50,000",19,12782334.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,11,"$50,000 under $75,000",20,22653934.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,12,"$75,000 under $100,000",21,14657726.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,13,"$100,000 under $200,000",22,24044481.0
tab11,2021,21in11si.xls,agi,count,all,all,Number of returns,All returns | Number of returns | 1.0,B,2,14,"$200,000 under $500,000",23,9045567.0
