"state","cd119","cd117","stab","pop20","afact2","afact"
"State code","Congressional district code (119th Congress)","Congressional district code (117th Congress)","State abbr.","Total population (2020 Census)","cd117-to-cd119 allocation factor","cd119-to-cd117 allocation factor"
"01","01","01","AL",426386,0.5871,0.5941 
"01","01","02","AL",291368,0.4202,0.4059 
"01","02","01","AL",292410,0.4026,0.4074 
"01","02","02","AL",255316,0.3682,0.3557 
"01","02","03","AL",120582,0.164,0.168 
"01","02","07","AL",49446,0.0744,0.0689 
"01","03","03","AL",612621,0.8333,0.8535 
"01","03","04","AL",105133,0.1496,0.1465 
"01","04","04","AL",560556,0.7974,0.781 
"01","04","05","AL",76606,0.1007,0.1067 
"01","04","06","AL",54122,0.0731,0.0754 
"01","04","07","AL",26470,0.0398,0.0369 
"01","05","04","AL",33258,0.0473,0.0463 
"01","05","05","AL",684496,0.8993,0.9537 
"01","06","02","AL",146782,0.2117,0.2045 
"01","06","03","AL",1929,0.0026,0.0027 
"01","06","06","AL",550545,0.7433,0.767 
"01","06","07","AL",18499,0.0278,0.0258 
"01","07","01","AL",7480,0.0103,0.0104 
"01","07","04","AL",4035,0.0057,0.0056 
"01","07","06","AL",136043,0.1837,0.1895 
"01","07","07","AL",570196,0.8579,0.7944 
"02","00","00","AK",733391,1,1 
"04","01","04","AZ",1193,0.0015,0.0015 
"04","01","05","AZ",4713,0.0053,0.0059 
"04","01","06","AZ",596142,0.7586,0.7502 
"04","01","07","AZ",26850,0.0341,0.0338 
"04","01","09","AZ",165713,0.2147,0.2085 
"04","02","01","AZ",511992,0.6729,0.6443 
"04","02","04","AZ",282620,0.3514,0.3557 
"04","03","03","AZ",78345,0.1008,0.0986 
"04","03","07","AZ",680516,0.8632,0.8564 
"04","03","09","AZ",35751,0.0463,0.045 
"04","04","05","AZ",239565,0.2719,0.3015 
"04","04","06","AZ",18,0,0 
"04","04","07","AZ",1112,0.0014,0.0014 
"04","04","09","AZ",553916,0.7177,0.6971 
"04","05","04","AZ",157865,0.1963,0.1987 
"04","05","05","AZ",636747,0.7227,0.8013 
"04","06","01","AZ",243055,0.3195,0.3059 
"04","06","02","AZ",545263,0.7324,0.6862 
"04","06","03","AZ",6293,0.0081,0.0079 
"04","07","01","AZ",5803,0.0076,0.0073 
"04","07","02","AZ",199215,0.2676,0.2507 
