STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
GA,0,"4,442,630","1,910,030","1,527,390","903,880","2,347,700","9,057,120","3,341,230","76,880","28,320","8,360","40,190","8,460","39,930","961,580","883,130","266,462,788","4,425,420","270,234,820","3,726,360","195,304,652","938,200","1,666,164","663,240","5,600,781","613,840","4,543,843","922,180","1,419,786","940,790","6,978,856","570,040","12,847,247","333,250","6,022,786","777,880","18,961,663","47,780","131,710","359,033","500,360","7,027,955","259,850","18,016,691","1,182,600","3,772,032","123,300","31,553","21,240","521,905","103,060","681,728","69,330","320,698","334,570","366,003","48,620","130,910","12,500","297,445","1,465,360","37,827,736","1,296,040","8,888,708","131,570","150,874","1,194,790","3,679,855","1,459,220","13,364,820","1,075,710","8,143,164","1,257,280","9,412,167","3,198,230","181,659,076","3,205,720","36,097,041","109,540","570,001","124,620","93,965","1,386,730","1,668,043","167,440","205,982","223,100","121,810","332,000","349,764","261,170","45,958","690,130","778,366","74,620","33,125","634,730","1,572,087","224,560","799,261","248,000","886,078","208,660","97,106","4,218,270","44,127,173","1,132,700","3,097,961","1,006,610","2,665,975","829,670","1,144,624","411,220","387,607","101,340","52,609","2,764,260","34,546,661","3,190,690","36,865,738","90,900","179,654","93,740","370,870","873,190","4,431,061","3,393,510","10,714,279"
GA,1,"62,960","37,170","20,050","3,160","39,950","95,900","16,240",710,350,20,340,0,20,"4,390","25,250","-5,605,109","45,750","-5,548,183","15,460","525,230","16,560","72,037","11,890","86,995","11,060","64,251","2,590","11,313","23,510","-272,444","16,350","242,586","4,200","72,869","6,740","91,497","4,020",510,"1,706",120,401,"12,220","-804,072","14,000","56,926",340,81,100,"1,416","3,150","16,017",380,"1,913","2,510","3,047","2,480","9,050",40,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,080","3,242",160,"2,630","1,830",585,320,433,20,2,0,0,100,53,30,21,150,101,0,0,"7,520","18,204","8,550","45,496","8,880","43,000",150,41,"31,570","132,314","6,230","7,547","4,210","5,107","2,700","4,184","7,200","6,895","5,840","4,831","1,830","2,807","10,610","23,931",300,567,50,728,"6,370","10,991","27,850","115,765"
GA,2,"656,660","506,880","48,630","91,920","307,050","688,100","182,630","16,560","6,620",620,"9,320","3,180","5,880","129,430","91,690","3,609,669","656,650","3,734,984","498,120","2,930,706","57,290","29,176","41,430","53,083","37,930","36,186","8,420","6,083","146,330","483,175","35,110","20,123","19,530","83,548","47,840","231,384","2,520","9,800","22,112","1,730","8,429","8,020","-15,619","138,000","125,315","1,650",365,190,728,"6,410","16,898","1,470","4,438","11,520","10,715","10,200","31,410",170,100,"24,680","354,385","9,010","11,218","10,640","4,921","15,410","33,793","23,430","55,994","12,830","81,651","15,680","26,613","62,280","110,190","64,660","13,447",30,103,"7,800","2,731","5,110",795,"2,250",76,60,12,"1,290",347,250,46,870,255,130,30,"115,950","96,151","34,400","130,119","35,360","128,206","1,050",274,"568,130","692,863","256,690","360,816","226,620","299,749","93,430","70,154","58,360","53,771","22,800","9,286","62,110","12,654","181,710","111,744",20,51,30,122,"66,910","31,090","530,750","612,250"
GA,3,"1,137,500","554,060","156,300","407,140","598,360","2,228,590","981,520","25,900","10,650","1,620","13,640","3,730","25,040","390,420","170,560","19,290,329","1,137,500","19,623,505","931,400","15,776,004","98,030","72,566","57,160","121,048","50,710","81,726","38,390","26,128","287,020","1,562,064","45,660","69,434","46,220","343,421","132,030","1,388,661","5,170","42,190","119,719","57,300","109,546","18,220","54,181","272,530","333,176","8,800","2,063",460,"2,095","12,680","35,717","6,760","19,445","42,810","39,826","8,370","24,059",320,462,"100,480","1,425,817","63,410","64,475","28,290","17,535","55,950","105,406","98,570","215,735","47,730","275,569","73,620","211,339","615,610","3,642,336","624,090","393,436",140,399,"43,880","13,472","235,820","84,030","5,030",276,"19,520","6,470","80,680","43,463","72,820","12,257","67,200","20,085","3,460","1,039","208,200","345,494","105,010","354,477","107,020","359,685","81,830","24,171","1,082,380","3,991,173","569,910","2,085,114","522,420","1,821,774","449,120","639,425","137,450","131,412","51,830","21,762","456,460","309,411","668,190","690,187",90,132,50,238,"102,990","109,877","1,008,370","3,416,579"
GA,4,"1,041,310","453,280","279,760","273,250","532,970","2,183,760","866,350","21,190","8,180","2,750","10,250","1,550","7,930","270,330","181,280","37,362,977","1,041,310","37,811,688","919,930","31,923,254","145,200","111,621","89,130","230,454","79,320","163,032","150,690","124,527","179,180","531,465","70,170","161,536","62,340","644,197","171,600","2,884,872","8,170","39,320","100,509","136,820","909,009","31,200","232,329","236,650","448,711","27,030","6,528","1,080","8,033","16,010","64,610","16,740","57,673","99,390","109,244","7,310","19,486",650,"1,241","283,830","4,527,152","236,650","417,756","36,350","37,324","182,530","331,431","281,800","882,586","166,570","910,805","228,930","821,544","981,250","17,599,580","978,810","2,155,754",150,664,"48,190","31,466","473,550","417,311","14,680","1,327","67,980","39,793","109,990","114,878","153,820","28,178","260,790","223,538","17,070","7,399","94,280","215,614","62,790","222,299","69,810","256,169","85,990","35,479","1,013,300","4,239,349","297,540","643,504","251,630","538,683","250,010","384,167","93,100","86,707","18,160","13,813","743,960","1,738,494","817,320","2,015,959",170,265,80,380,"167,340","270,169","862,730","2,483,981"
GA,5,"549,320","199,300","253,000","77,930","293,180","1,201,830","399,790","7,510","1,770","1,660","4,080",0,860,"92,750","135,750","33,733,472","549,320","34,119,024","478,180","26,753,758","140,230","121,885","90,330","295,962","82,290","215,125","176,550","178,321","97,070","484,430","72,270","237,393","54,640","751,475","136,640","3,360,543","7,200","17,870","48,355","105,430","1,562,022","29,380","370,683","167,730","385,552","26,910","6,751","1,260","12,387","11,700","62,689","13,280","55,406","76,570","88,958","7,270","17,302",890,"2,196","270,500","4,942,467","241,280","701,256","23,330","29,989","217,670","440,193","269,940","1,274,493","199,870","1,193,140","229,220","939,576","545,740","21,162,583","544,230","2,960,537",960,"1,671","14,260","21,346","233,020","344,308","19,760","2,627","37,220","20,644","54,770","72,138","34,250","5,456","154,870","230,798","16,630","7,560","56,820","140,461","11,520","40,471","17,370","65,590","24,430","16,589","538,930","3,594,726","2,340",980,"1,720",662,"30,260","40,769","42,740","40,209","2,370","2,539","512,960","2,616,229","523,610","2,800,978",160,219,80,179,"140,640","320,168","400,550","1,091,315"
GA,6,"340,230","79,500","225,790","27,340","185,350","830,400","264,430","2,880",440,900,"1,550",0,150,"40,010","95,920","29,463,910","340,230","29,767,350","296,940","22,557,604","120,250","114,474","81,450","319,896","75,080","239,359","152,890","180,185","64,510","472,364","66,480","301,583","45,000","803,238","100,410","3,089,667","6,040","9,990","28,267","74,770","1,470,577","27,010","440,609","106,660","303,440","19,610","5,271","1,380","15,351","9,340","58,145","9,390","46,710","42,740","49,492","2,340","5,519",940,"2,950","216,250","4,455,456","199,210","818,993","13,940","20,238","191,540","452,149","216,060","1,381,660","175,950","1,178,869","188,630","865,027","339,350","20,269,334","338,500","3,010,990","2,240","4,152","4,780","11,446","149,800","251,467","19,540","3,359","30,050","16,988","36,010","48,544",0,0,"104,870","170,637","12,320","5,472","40,680","114,130","2,000","5,616","5,360","18,833","7,960","7,845","335,740","3,367,884",0,0,0,0,"3,370","4,720","27,320","25,399",300,323,"334,840","2,759,522","336,330","2,908,164",220,113,100,203,"102,100","296,452","231,330","730,872"
GA,7,"480,450","64,110","391,040","19,080","266,480","1,308,610","437,240","2,040",300,770,970,0,60,"31,510","135,340","64,992,372","480,450","65,716,002","429,460","49,268,015","232,040","287,304","177,570","979,774","166,860","763,080","294,440","444,073","100,510","1,319,217","152,030","1,199,287","74,160","2,000,258","144,510","5,857,942","9,860","10,370","32,664","96,740","2,239,783","65,840","1,860,824","178,400","723,630","33,850","9,216","5,440","83,222","20,300","157,742","17,170","95,517","59,030","64,721","10,640","24,084","3,200","15,247","400,290","10,147,572","381,060","2,569,713","15,720","30,414","370,760","1,186,081","400,140","3,987,938","337,430","2,740,366","361,910","2,018,190","479,950","48,647,749","479,320","8,421,427","13,470","33,384","3,360","10,828","213,100","278,678","51,860","16,901","50,990","28,401","49,160","70,341",0,0,"101,340","132,910","19,180","7,888","68,790","253,630",290,783,"3,630","12,379","6,090","9,408","475,730","8,752,861",0,0,0,0,790,"1,205","45,050","43,214",40,55,"478,170","8,142,758","478,820","8,473,634","4,540","1,501","1,820","1,430","193,650","921,596","271,620","1,098,606"
GA,8,"141,920","12,890","124,440","3,390","96,010","420,970","154,680",100,20,20,50,0,0,"2,650","38,030","40,384,660","141,920","41,036,990","128,770","28,237,614","99,180","258,112","87,970","1,110,148","84,830","903,753","80,990","202,743","34,150","1,392,364","84,540","1,853,515","22,780","1,051,173","32,970","1,766,867","3,540","1,550","5,370","22,730","594,075","46,400","4,147,420","51,110","652,330","4,780","1,200","7,310","195,625","15,410","162,309","3,200","29,978",0,0,0,0,"3,430","41,589","137,800","5,946,926","134,500","2,003,959","2,770","7,875","130,630","746,118","137,770","2,840,499","112,600","1,346,565","128,870","1,321,442","141,800","33,019,686","141,790","7,754,768","80,870","342,662",460,"1,711","55,900","71,356","37,440","39,231","15,330","8,330",0,0,0,0,60,42,"5,120","2,478","31,030","211,911",0,0,480,"1,818",990,"2,697","140,510","7,626,048",0,0,0,0,0,0,0,0,0,0,"141,690","7,683,441","141,830","8,041,430","62,000","47,611","64,310","59,526","76,440","1,064,261","52,820","431,917"
GA,9,"22,000","1,870","19,430",460,"18,800","67,950","26,550",0,0,0,0,0,0,80,"6,100","14,789,405","22,000","15,109,243","19,310","8,134,235","19,510","144,293","17,340","582,106","16,930","480,365","10,790","68,893","5,800","508,926","17,980","1,344,682","3,070","191,311","3,550","193,866",790,70,235,"3,180","89,099","13,580","3,603,433","11,370","319,838",260,65,"2,650","117,342","5,160","67,993",680,"6,874",0,0,0,0,"1,430","41,406","21,530","2,034,246","21,130","777,823",360,"1,118","20,670","210,155","21,520","1,006,216","16,300","282,955","20,680","795,893","21,980","12,754,028","21,980","3,717,937","9,720","99,320",50,250,"12,880","58,435","10,450","39,198","1,570",931,0,0,0,0,0,0,520,552,"7,450","88,610",0,0,50,264,110,381,"21,770","3,635,172",0,0,0,0,0,0,0,0,0,0,"21,970","3,659,523","21,990","3,870,424","15,910","49,213","18,180","65,964","12,270","561,352","5,080","133,796"
GA,10,"10,290",950,"8,950",220,"9,570","31,020","11,810",0,0,0,0,0,0,20,"3,220","28,441,103","10,290","28,864,217","8,790","9,198,232","9,920","454,696","8,990","1,821,315","8,830","1,596,966","6,440","177,520","2,720","497,295","9,450","7,417,108","1,320","81,296","1,590","96,364",460,20,96,"1,560","45,014","7,980","8,126,903","6,160","423,114",50,13,"1,370","85,706","2,910","39,608",270,"2,744",0,0,0,0,"1,430","191,728","10,000","3,993,715","9,810","1,523,515",180,"1,460","9,630","174,529","10,000","1,719,699","6,420","133,244","9,740","2,412,543","10,270","24,453,590","10,280","7,665,503","1,800","85,016",30,130,"7,240","161,230","6,440","102,985",390,241,0,0,0,0,0,0,190,707,"4,010","87,882",0,0,30,134,60,221,"10,210","8,094,783",0,0,0,0,0,0,0,0,0,0,"10,270","7,621,822","10,280","7,929,287","7,480","79,982","9,040","242,100","4,490","845,105","2,420","599,198"
