STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
MS,3,"349,840","177,330","36,890","129,880","322,380","12,270","179,680","282,370","653,850","6,540","5,200",40,"1,290","2,120","116,570","58,270","5,964,205","349,840","6,055,683","289,710","4,922,761","29,700","24,614","11,210","23,441","10,100","14,981","1,430","1,090","82,450","491,993","9,750","18,428","12,750","97,152","40,680","431,873","4,430","7,700","22,153","21,020","40,270","3,310","5,566","77,560","91,478","2,900",690,100,393,"2,750","11,082","1,400","4,291","8,490","7,589","345,750","5,505,523","345,750","5,430,570","40,260","74,952","4,070","82,849","3,040","40,877","1,590","2,324","2,000","2,509","2,140","4,264","3,580","9,139","3,890","10,374","1,900","1,497","1,680","11,795",70,388,40,135,60,240,"2,960","14,396",310,"3,360","16,340","9,809","198,010","996,089","199,160","102,425",0,0,"5,420","2,219","100,500","34,419",990,43,"5,640","1,991","15,740","7,015","28,130","5,420","57,020","19,431","1,040",432,"63,610","105,456","21,330","163,978","22,590","173,518","333,740","1,282,649","191,410","724,344","179,780","640,660","134,160","230,424","25,670","24,566","4,530","2,592","117,900","68,006","179,560","177,268",20,18,0,0,"26,080","27,272","316,700","1,132,317","315,890","1,130,357","1,110","1,961"
MS,4,"329,830","142,610","70,720","105,770","300,710","11,800","166,730","249,030","647,410","5,220","4,070",60,"1,100","1,100","94,190","65,870","11,795,943","329,830","11,906,456","291,850","10,177,961","47,680","42,307","18,640","44,941","16,840","30,397","5,640","4,410","48,130","95,478","15,760","45,354","18,290","188,069","55,870","961,731","7,060","5,360","15,838","49,590","342,947","5,590","30,516","60,190","110,513","9,960","2,436",190,"1,433","3,950","19,799","3,560","13,147","23,280","23,247","315,390","5,383,989","315,390","5,303,584","41,440","80,406","14,430","326,653","10,050","127,463","8,810","14,861","4,790","9,063","8,340","16,541","13,300","42,660","14,160","48,128","8,040","7,485","7,070","44,011",240,"1,466",250,"1,990",170,969,"12,170","81,456","1,130","13,758","25,900","38,339","326,820","6,043,661","325,460","657,203",0,0,"7,140","5,847","179,820","216,796","3,620",230,"19,850","13,044","25,280","28,032","63,320","13,706","134,020","157,250","4,570","3,535","25,200","59,482","13,280","105,992","13,830","114,772","321,110","1,304,950","109,990","255,702","100,070","230,158","93,280","179,741","18,830","17,443","2,490","1,964","219,570","440,407","236,350","509,119",50,91,0,0,"51,270","73,165","277,060","868,113","275,590","863,507","2,030","4,606"
MS,5,"159,250","54,470","71,630","27,890","143,780","6,140","89,640","105,420","342,530","1,420",930,20,470,0,"30,060","46,370","9,762,495","159,250","9,853,782","136,130","7,602,006","43,950","47,187","18,450","60,159","16,730","42,462","7,180","6,417","26,490","153,391","15,670","68,519","16,030","212,965","42,150","1,091,534","6,090","2,240","8,920","37,500","579,917","5,880","47,655","39,400","91,287","6,160","1,607",240,"2,183","3,280","19,087","2,620","11,794","16,080","18,196","143,580","2,790,198","143,580","2,733,508","29,260","56,690","15,660","392,942","8,730","119,600","10,760","28,149","4,280","9,723","11,300","22,911","14,820","62,844","15,520","68,263","9,760","7,696","10,010","66,855",230,"1,476",270,"1,610",170,881,"13,580","110,222","1,160","15,825","19,890","47,651","158,970","6,522,961","158,670","779,198",20,159,"2,130","4,796","77,220","169,552","4,700",484,"10,160","6,252","11,710","14,812","13,630","2,268","63,450","140,937","3,280","3,297","16,580","45,563","2,290","20,754","2,900","26,994","156,190","907,111","2,500","1,194","1,980",941,"16,110","28,431","8,400","7,528",370,446,"141,970","609,646","146,370","663,907",40,117,0,0,"40,970","87,739","118,000","329,859","116,190","323,906","2,320","5,954"
MS,6,"95,290","18,590","66,610","8,200","86,730","3,550","57,020","59,120","236,420",470,300,20,150,0,"12,640","31,460","8,247,663","95,290","8,319,643","81,440","6,135,219","36,810","45,495","16,880","68,456","15,550","49,764","5,820","5,780","18,170","155,529","14,640","83,883","13,220","228,718","30,270","983,913","5,220","1,420","6,120","25,540","530,921","5,640","76,041","27,770","71,980","5,440","1,519",220,"2,485","2,630","17,645","1,760","9,231","10,780","11,849","83,580","1,857,977","83,580","1,817,773","19,770","40,205","11,710","323,111","5,050","75,851","8,420","30,303","2,990","7,902","9,480","21,690","11,160","59,172","11,640","62,863","7,630","5,634","8,360","63,275",160,907,230,897,180,853,"10,290","98,166",860,"14,179","16,430","50,405","95,200","6,008,900","95,040","753,961",30,169,710,"3,051","47,220","131,758","4,710",782,"8,210","5,185","7,990","9,791",0,0,"41,150","112,684","1,770","1,802","12,300","38,694",450,"3,917",870,"7,735","93,900","801,001",0,0,0,0,"2,560","3,915","5,600","4,773",50,76,"92,330","622,203","93,300","668,913",50,64,0,0,"28,680","81,505","66,480","212,540","64,740","206,251","2,200","6,289"
MS,7,"124,420","13,250","105,310","4,460","113,990","4,840","78,780","63,150","338,080",340,220,20,100,0,"9,540","42,910","16,573,693","124,420","16,742,009","107,390","11,855,764","65,260","113,263","35,100","209,556","32,600","157,753","13,300","14,925","27,620","419,461","30,990","311,183","21,430","567,920","42,970","1,915,656","9,300","1,520","6,637","32,730","837,613","14,620","406,865","43,180","168,316","7,900","2,135","1,010","16,486","5,790","46,668","3,090","18,543","14,560","16,694","98,950","2,346,263","98,950","2,293,653","24,760","52,611","25,470","825,067","6,590","100,528","20,710","123,627","4,370","12,385","22,760","66,382","24,760","187,573","25,380","193,971","18,400","13,663","19,880","182,492",340,"1,809",630,939,770,"4,783","23,360","296,771","1,760","40,526","30,470","164,378","124,370","13,227,768","124,290","1,941,567",120,715,410,"3,121","68,650","200,532","11,470","6,813","12,480","8,078","10,780","13,992",0,0,"58,150","165,223","2,340","2,171","19,530","87,597",70,493,480,"4,019","122,760","1,916,034",0,0,0,0,430,987,"9,290","8,160",0,0,"123,690","1,741,036","123,940","1,847,473",730,264,320,111,"50,720","230,738","73,520","296,398","69,230","268,203","5,300","28,195"
MS,8,"27,090","2,430","23,900",520,"25,130","1,140","21,020","8,200","75,860",0,0,0,0,0,490,"10,740","7,630,890","27,090","7,771,839","23,020","4,443,463","20,570","92,229","14,470","220,072","13,720","172,881","3,120","5,041","8,530","422,691","13,980","419,598","5,910","275,017","8,610","581,389","3,070",170,751,"7,140","210,705","9,960","950,015","10,620","140,949",970,249,"1,450","42,085","4,020","44,527",710,"7,010",0,0,"13,800","332,187","13,800","322,929","4,310","9,258","13,290","574,850",800,"17,127","12,070","155,316","1,160","4,028","12,140","55,314","13,130","125,087","13,270","127,219","9,430","8,223","10,310","130,130",190,"1,180",400,298,"1,130","8,473","12,550","244,090","1,070","45,735","13,440","211,015","27,080","6,511,471","27,080","1,255,956",140,955,50,373,"16,580","52,954","6,450","11,433","2,120","1,322",0,0,0,0,"11,550","33,619",420,442,"7,610","64,629",0,0,60,464,"26,560","1,246,669",0,0,0,0,60,150,0,0,0,0,"26,970","1,203,002","27,030","1,295,864","9,220","7,028","12,540","13,444","14,300","200,056","12,730","148,046","9,560","88,936","3,750","59,110"
MS,9,"3,940",360,"3,460",60,"3,700",170,"3,630",790,"11,370",0,0,0,0,0,20,"1,610","2,632,279","3,940","2,684,856","3,300","1,208,158","3,580","47,567","2,890","112,873","2,790","91,765",280,932,"1,550","144,346","2,890","238,477",840,"51,898",810,"54,746",610,0,0,930,"29,504","2,700","705,832","2,290","52,577",80,21,440,"19,425","1,090","14,825",130,"1,479",0,0,"1,180","28,270","1,180","27,412",420,858,"2,760","214,683",40,"1,883","2,590","79,384",170,761,"2,470","18,228","2,750","27,107","2,760","27,458","1,800","2,100","1,950","34,426",50,867,100,24,570,"9,148","2,660","108,905",340,"31,802","2,380","76,409","3,940","2,312,660","3,940","586,785",50,"1,174",0,0,"1,930","8,099","1,590","3,077",180,126,0,0,0,0,50,67,40,99,"1,690","19,682",0,0,0,0,"3,870","581,688",0,0,0,0,0,0,0,0,0,0,"3,940","578,686","3,940","620,851","2,530","7,299","3,330","13,899","2,060","103,079","1,860","62,439","1,000","23,848","1,000","38,591"
MS,10,"1,490",170,"1,270",30,"1,420",50,"1,430",180,"3,970",0,0,0,0,0,0,740,"3,628,008","1,490","3,653,979","1,220","709,632","1,430","113,756","1,240","220,805","1,210","181,678",110,935,640,"95,397","1,310","796,470",310,"26,333",330,"25,095",280,0,0,420,"14,539","1,280","1,487,893",910,"25,971",0,0,160,"7,325",490,"6,552",70,727,0,0,280,"6,674",280,"6,459",100,215,"1,210","299,890",0,0,"1,150","126,759",60,551,"1,040","12,926","1,200","11,908","1,210","12,651",680,985,590,"10,630",30,547,30,4,440,"18,475","1,170","189,995",250,"67,628","1,160","206,127","1,490","3,115,541","1,490","921,225",170,"2,301",0,0,930,"22,895",830,"9,156",40,25,0,0,0,0,0,0,0,0,670,"12,551",0,0,0,0,"1,470","956,549",0,0,0,0,0,0,0,0,0,0,"1,490","898,331","1,490","946,838",880,"6,337","1,360","28,287",730,"137,573",750,"145,609",230,"20,855",570,"124,753"
MO,0,"2,871,980","1,380,710","1,059,770","364,370","2,630,970","94,050","1,395,460","1,854,020","5,358,660","56,140","22,870","1,570","31,700","4,760","395,960","769,530","187,247,577","2,858,110","189,475,993","2,355,650","129,951,129","888,100","1,963,997","531,010","5,252,367","495,750","4,244,137","68,770","77,712","434,270","4,979,420","473,770","10,532,120","324,560","6,080,625","596,460","14,267,329","90,870","71,500","207,568","448,960","6,558,118","146,060","10,617,333","681,720","2,228,416","65,410","16,875","13,660","316,390","75,150","547,196","38,190","192,764","257,060","285,874","2,617,860","45,507,201","2,617,860","44,532,658","494,080","974,545","209,720","7,755,005","63,360","1,229,035","176,240","2,008,961","30,110","51,745","183,150","896,018","203,720","1,546,187","208,410","1,581,862","154,860","123,303","154,190","1,571,232","2,940","20,496","6,180","4,764","10,080","169,387","173,730","2,729,533","13,240","406,443","388,800","2,348,303","2,217,240","138,302,192","2,206,630","23,362,155","1,620","27,212","51,140","63,626","1,035,120","2,046,976","160,950","116,022","121,560","68,657","139,520","145,007","220,120","41,486","699,550","1,518,436","27,400","37,843","331,850","1,009,887","101,190","859,063","109,650","925,182","2,692,030","27,298,445","495,610","1,195,114","441,600","1,068,971","368,650","669,391","112,200","96,419","38,540","31,637","1,899,890","21,315,196","2,051,380","22,867,965","54,440","104,843","65,000","299,554","543,980","2,634,724","2,208,350","7,037,837","2,161,270","5,917,433","61,470","1,120,402"
MO,1,"44,300","26,820","14,870","1,300","30,070","6,200","26,300","11,330","66,780",200,110,0,100,0,960,"22,330","-3,055,393","30,480","-3,006,396","9,040","298,309","14,170","72,499","7,470","53,603","6,820","37,571",310,"1,504","14,510","-231,503","11,060","236,727","3,670","48,810","6,250","73,244","8,380",220,832,60,269,"6,120","-873,258","8,320","48,997",180,43,70,"1,061","2,250","13,093",180,909,"1,380","1,636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,"1,009",40,980,770,234,160,164,0,0,0,0,20,11,10,8,100,73,0,0,"4,590","10,898","4,650","52,267","4,860","51,477","17,570","83,841","3,030","3,353","1,830","2,165","1,220","2,632","1,290","1,168","3,080","3,212",740,845,"6,020","13,071",150,229,0,0,"3,640","5,958","15,920","76,647","15,260","58,682",910,"17,965"
