STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
HI,4,"176,810","100,620","41,650","28,760","83,080","313,380","95,720","4,210","1,860","1,000","1,350",450,"1,700","29,540","36,220","6,450,612","176,810","6,533,706","154,830","5,410,475","39,000","20,913","20,550","48,058","18,610","34,636","15,400","14,062","20,660","191,428","15,840","25,624","10,690","97,596","26,350","486,720",980,"6,410","35,263","24,430","164,788","3,690","26,058","35,590","83,094","3,030",710,420,"3,892","3,550","17,215","3,910","15,030","14,320","14,392",720,"1,725",90,129,"29,010","474,482","8,750","82,757","22,130","55,270","5,390","4,397","17,480","31,167","28,740","96,318","6,670","3,781","15,860","158,644",590,"4,847","1,950","1,386","2,120","6,690",300,566,"21,140","49,370","13,400","71,049",550,"3,244","170,530","3,504,949","169,740","434,306",20,89,"1,280",777,"66,200","55,391","4,570",457,"5,940","3,031","10,320","10,179","27,810","5,721","34,960","32,774","1,920","2,407","14,880","36,322","2,380","8,141","2,560","8,328","4,320","2,386","173,250","762,318","36,740","77,265","30,540","66,879","26,640","39,686","7,390","6,153",890,969,"143,760","378,916","149,700","420,177",30,34,30,77,"24,860","37,678","148,690","372,091"
HI,5,"100,910","44,760","42,290","11,070","54,450","203,810","60,650","1,410",370,510,530,0,310,"10,760","30,090","6,193,163","100,910","6,268,480","84,760","4,745,472","38,170","25,329","21,540","63,384","19,580","46,203","22,610","25,416","15,360","170,651","16,720","40,869","11,240","132,369","24,460","653,250",760,"4,130","23,329","21,860","320,341","3,800","40,218","26,010","75,317","3,550",869,500,"5,068","2,620","15,144","3,200","14,561","9,520","10,399",870,"1,877",110,304,"36,290","667,255","6,520","74,430","30,260","116,364","4,660","4,562","25,880","46,067","36,140","173,366","7,640","4,025","23,990","247,401",850,"6,512","3,400","2,490","3,180","10,033",470,727,"27,790","71,890","14,680","75,035",800,"5,128","100,250","4,077,656","99,960","580,322",70,166,480,646,"39,060","58,087","5,640",752,"5,000","2,568","6,200","7,869","7,270","1,278","24,700","37,898","2,350","5,458","10,670","31,842",480,"1,406",710,"2,125","1,330","1,084","99,430","710,098",640,224,530,184,"4,510","6,575","4,660","4,265",130,156,"94,690","522,235","96,050","557,941",30,39,20,53,"24,880","53,055","72,690","194,532"
HI,6,"65,240","18,830","40,370","4,760","38,010","152,340","46,740",550,120,250,180,0,110,"4,890","21,930","5,656,525","65,240","5,718,016","54,650","4,150,622","31,610","26,961","18,700","69,914","17,270","52,235","23,360","29,945","11,630","156,662","14,830","57,969","9,680","149,047","19,290","656,307",580,"2,970","15,055","16,170","311,696","3,830","57,289","16,840","61,491","2,250",589,580,"7,085","2,020","12,941","2,150","11,009","5,030","5,608",230,540,130,452,"35,530","753,945","4,310","51,111","31,190","167,175","3,490","4,301","27,020","52,696","35,440","230,824","6,910","4,093","25,320","294,897",770,"5,792","4,050","2,964","3,350","10,650",520,"1,225","27,970","79,091","13,350","71,386",900,"5,622","65,010","3,952,138","64,860","597,913",270,513,190,461,"27,890","50,656","5,510",860,"4,930","2,644","5,020","6,650",0,0,"18,230","30,601","2,150","6,904","7,990","28,616",70,177,230,653,530,619,"64,540","681,953",0,0,0,0,890,"1,397","3,820","3,504",10,16,"63,620","547,257","64,010","579,315",40,22,20,47,"18,700","52,603","43,570","142,414"
HI,7,"91,860","13,680","73,850","3,300","55,380","242,740","77,040",520,70,320,130,0,50,"4,060","32,420","12,360,800","91,860","12,506,476","78,440","8,765,235","56,790","60,177","37,260","189,753","34,840","147,126","46,610","77,816","19,400","426,907","31,260","262,181","16,320","380,530","30,820","1,390,772",940,"3,130","16,035","22,820","543,012","9,140","237,607","29,210","145,676","4,980","1,331","1,770","32,261","4,000","29,680","2,880","15,618","7,400","7,762","1,690","3,722",410,"2,392","68,900","1,890,183","4,540","66,116","63,530","536,786","4,330","6,948","58,530","140,581","68,850","697,620","11,590","7,660","54,980","742,789","1,450","11,061","11,160","8,633","1,140","1,857","1,700","5,134","58,240","207,391","21,670","132,491","2,100","16,792","91,720","9,201,271","91,630","1,581,726","2,150","5,804",120,417,"41,470","70,424","12,470","3,950","10,050","5,402","7,700","11,105",0,0,"18,320","24,990","4,390","18,856","14,040","68,624",0,0,160,514,470,829,"91,160","1,681,162",0,0,0,0,290,404,"6,990","6,752",0,0,"91,060","1,511,303","91,260","1,588,519",650,209,340,254,"35,330","164,042","49,910","208,597"
HI,8,"20,520","2,660","17,190",470,"14,960","53,910","16,210",50,0,50,0,0,0,250,"8,700","5,742,059","20,520","5,862,868","17,110","3,272,209","16,260","43,978","12,650","171,782","12,030","139,008","8,730","28,950","5,990","420,538","12,280","471,223","4,450","191,617","7,080","427,353",310,310,"1,861","5,460","148,690","6,260","532,083","7,540","120,809",540,133,"1,580","51,658","2,540","25,064",530,"4,801",0,0,0,0,410,"5,290","19,200","879,537",610,"20,207","18,240","360,786",830,"2,048","17,060","68,629","19,190","435,354","2,370","1,604","14,590","254,017",430,"4,778","4,170","4,329",0,0,"1,620","8,840","16,720","109,562","3,810","41,387",800,"14,319","20,490","4,666,735","20,480","1,078,070","11,140","58,384",30,141,"8,300","21,813","5,560","7,267","1,830","1,029",0,0,0,0,0,0,"1,280","7,540","5,370","49,859",0,0,40,158,90,236,"20,290","1,122,732",0,0,0,0,0,0,0,0,0,0,"20,450","1,056,260","20,490","1,127,472","6,910","5,125","9,500","12,592","9,350","145,281","7,090","66,388"
HI,9,"2,590",370,"2,130",70,"2,270","6,680","1,960",0,0,0,0,0,0,0,"1,240","1,715,722","2,590","1,753,820","2,110","746,567","2,330","20,883","1,900","57,800","1,830","46,585",990,"11,053",830,"141,230","2,010","264,874",510,"33,574",730,"48,005",70,0,0,730,"20,706","1,470","357,200","1,270","38,098",20,5,340,"16,688",550,"6,734",70,741,0,0,0,0,160,"4,690","2,440","219,244",30,"2,361","2,360","132,119",80,382,"2,280","15,488","2,440","148,717",230,167,"1,770","40,028",70,"1,206",640,566,0,0,440,"4,874","2,160","34,320",310,"8,274",160,"5,479","2,580","1,495,854","2,590","426,735","1,520","18,467",0,0,"1,430","12,078","1,050","5,600",150,94,0,0,0,0,0,0,200,"1,849",910,"12,818",0,0,0,0,10,41,"2,550","440,441",0,0,0,0,0,0,0,0,0,0,"2,580","414,675","2,590","444,253","1,590","4,578","2,150","11,500","1,100","61,848",610,"15,802"
HI,10,"1,010",150,800,30,960,"2,440",640,0,0,0,0,0,0,0,560,"2,888,765","1,010","2,914,853",770,"514,872",980,"107,259",850,"197,584",820,"168,604",570,"22,427",340,"83,155",900,"1,268,124",180,"13,685",250,"18,702",40,0,0,340,"9,292",780,"549,400",580,"26,088",0,0,100,"6,208",250,"3,015",30,345,0,0,0,0,130,"9,768",960,"348,133",0,0,930,"239,363",30,57,900,"14,971",960,"255,405",90,116,570,"13,251",20,603,200,176,0,0,350,"12,579",890,"104,944",150,"22,823",130,"7,303","1,010","2,541,839","1,010","736,015",300,"20,053",0,0,700,"37,936",560,"21,773",40,27,0,0,0,0,0,0,70,"1,003",400,"6,117",0,0,0,0,0,0,"1,000","817,463",0,0,0,0,0,0,0,0,0,0,"1,010","720,904","1,010","756,725",570,"4,020",920,"47,548",350,"77,923",210,"60,349"
ID,0,"739,750","315,980","338,310","78,100","369,540","1,557,220","523,020","20,850","1,500",570,"18,770",420,"6,660","86,000","189,840","41,690,089","737,130","42,473,884","606,140","28,703,558","197,670","432,240","117,790","794,924","109,530","621,876","95,660","110,058","122,030","1,321,232","121,910","2,661,940","73,970","1,153,895","143,270","3,360,171","19,900","33,720","119,032","106,450","1,409,760","58,800","3,490,507","203,370","783,795","15,640","3,887","3,360","67,579","32,490","187,742","16,620","84,277","70,630","71,681","11,210","20,975","7,390","120,642","214,010","5,308,028","52,500","463,201","176,780","1,379,841","31,390","42,013","192,700","519,487","213,240","1,967,129","31,500","13,132","167,840","1,246,140","7,250","22,126","18,260","11,062","34,420","49,506","6,340","39,912","173,440","1,211,180","45,190","359,286","3,750","61,824","567,540","28,274,256","567,120","5,178,727","13,610","84,793","27,690","26,042","248,120","393,279","32,640","97,713","29,000","14,934","47,400","45,623","54,230","10,353","137,490","192,289","13,420","8,366","94,020","259,092","48,040","208,747","51,880","227,875","31,490","24,078","690,010","5,906,928","135,780","311,501","113,910","266,817","96,540","142,980","43,220","37,506","20,750","17,848","500,280","4,800,136","546,260","5,168,364","7,860","13,051","11,270","55,805","160,570","859,357","535,740","1,406,925"
ID,1,"13,820","7,060","6,070",470,"9,830","23,700","4,240",150,20,0,130,0,0,310,"7,780","-1,610,503","11,200","-1,589,441","3,350","85,950","5,180","22,722","3,080","25,285","2,850","17,668",480,911,"4,730","-32,726","5,170","158,841","1,290","15,345","2,180","26,838","2,110",140,544,20,130,"3,000","-302,210","3,400","21,062",60,14,10,173,"1,080","4,292",80,389,480,465,520,"1,659",190,"9,605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,"1,031",30,955,320,76,60,33,0,0,0,0,10,6,0,0,30,17,0,0,"1,890","4,119","1,910","12,336","1,990","11,113",20,12,"6,250","21,838","1,410","1,804",940,"1,162",630,"1,075",560,487,"1,430","1,704",330,997,"2,410","7,642",40,46,0,0,"1,420","2,729","5,360","17,090"
ID,2,"102,740","81,840","12,010","8,090","41,230","100,780","20,440","5,540",340,40,"5,150",140,810,"10,550","22,270","540,979","102,740","559,109","78,240","442,821","14,440","9,116","8,930","13,007","8,080","7,800","1,200",712,"12,710","40,712","8,660","1,343","5,570","22,795","10,590","51,152","1,160","1,530","3,683",170,617,"2,000","-1,877","14,470","18,130",160,33,30,163,"1,710","4,324",240,765,"1,940","1,432","1,950","5,551",110,121,"4,660","72,907","3,810","34,867","1,100","2,591","2,690","1,754","3,550","7,260","4,450","11,892",570,201,"2,520","15,625",90,314,230,116,420,586,90,123,"2,990","4,341","1,960","4,525",60,257,"11,210","18,823","11,960","2,235",0,0,"1,340",374,720,91,340,10,0,0,160,39,50,14,90,25,20,3,"10,480","7,869","5,290","26,438","5,430","25,305",70,38,"84,950","75,121","29,860","32,963","26,300","29,410","8,690","5,450","5,130","4,321","3,390","2,191","11,660","2,144","22,580","10,364",0,0,20,142,"8,480","3,684","79,950","67,577"
ID,3,"162,320","99,890","33,150","27,460","69,710","264,310","77,320","6,940",540,140,"6,260",170,"3,120","28,090","36,570","2,810,595","162,320","2,857,431","130,590","2,174,176","24,390","23,383","13,760","32,279","12,590","20,079","4,060","2,523","22,620","176,538","13,440","19,606","12,020","86,771","25,490","276,868","2,420","7,890","24,116","12,730","21,340","4,490","13,120","31,190","46,836",800,172,110,623,"4,160","10,570","1,270","3,958","8,740","6,314","1,510","3,749",280,418,"12,850","203,166","9,020","77,739","4,920","7,747","6,680","5,115","10,070","19,802","12,610","33,629","1,710",653,"7,560","45,514",300,"1,191",660,361,"1,630","2,246",230,325,"9,070","24,656","3,360","15,455",230,"1,875","107,290","684,445","107,610","73,476",30,49,"7,340","2,297","32,040","10,710","1,660",62,"1,730",554,"10,060","5,407","12,330","2,073","7,440","2,420",550,114,"19,410","32,073","17,590","74,256","17,530","72,448","8,720","4,710","149,500","401,028","53,300","164,373","45,400","146,431","35,160","48,451","11,010","9,339","8,570","5,999","89,030","62,767","104,310","100,611",10,120,0,0,"20,710","18,349","134,120","315,797"
ID,4,"186,300","81,270","72,910","29,390","88,600","405,540","146,810","5,380",420,160,"4,800",110,"2,260","28,580","40,820","6,737,833","186,300","6,838,544","159,490","5,387,883","36,050","36,206","19,680","54,271","18,070","36,202","15,710","10,414","26,650","236,902","19,270","58,147","15,180","152,451","32,610","573,089","3,890","11,440","40,019","32,110","208,098","8,430","70,228","48,160","100,711","3,330",770,240,"1,887","6,070","21,678","3,640","14,421","20,900","19,397","1,660","2,782",780,"2,218","35,120","538,129","14,080","118,340","24,570","50,600","9,210","9,948","29,580","53,348","34,950","116,975","5,310","1,999","25,850","149,687",900,"2,904","2,050","1,234","8,640","12,320",440,968,"24,540","79,524","8,010","52,804",460,"2,893","175,290","3,179,984","174,260","386,570",50,121,"11,290","7,856","80,360","65,063","4,700",322,"6,920","3,415","13,040","11,815","29,510","6,181","46,080","41,767","2,890",884,"20,470","48,244","17,100","71,929","17,830","77,568","14,590","9,811","180,200","718,380","49,650","111,827","40,180","89,439","40,620","69,063","9,360","7,864","5,850","5,976","138,140","321,507","151,590","382,533",20,14,10,43,"35,050","50,803","147,970","380,161"
