STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
NY,5,"1,326,250","673,230","386,460","223,760","1,229,250","45,570","841,630","868,070","2,385,170","674,370","15,920","6,360",150,"9,400",40,"162,350","339,430","81,527,861","1,326,250","82,474,271","1,158,770","65,054,349","499,840","358,480","263,130","884,563","243,880","623,471","263,790","228,882","162,460","1,800,229","219,030","736,081","134,070","1,770,002","278,430","6,886,537","4,410","43,400","228,398","250,290","4,044,621","58,710","487,203","382,520","946,410","46,530","11,498","5,110","58,608","22,770","146,501","38,330","180,142","204,070","238,688","15,520","33,506","2,140","12,407","566,290","10,136,440","99,010","909,449","485,980","2,012,201","71,450","95,221","354,710","2,228,967","565,270","4,414,379","34,210","37,132","288,270","1,803,350","7,580","34,306","7,630","7,299","25,890","40,074","6,490","12,877","450,000","1,145,426","267,480","1,656,817","15,040","100,332","1,318,200","54,925,311","1,313,640","7,970,590","2,170","5,707","13,570","18,348","431,430","578,200","69,150","10,531","63,690","38,769","93,460","122,353","53,490","9,300","263,200","375,998","14,980","13,026","116,920","329,450","12,380","49,737","20,210","66,561","37,570","34,266","1,305,290","10,232,233","5,610","1,965","3,810","1,430","39,500","55,071","67,920","64,564","3,670","4,889","1,271,470","7,392,393","1,285,620","7,792,008",380,458,280,"1,641","272,800","619,557","1,048,960","3,034,786","1,028,360","2,942,184","26,720","92,601"
NY,6,"848,000","330,010","385,850","105,780","786,670","27,540","568,080","529,260","1,713,800","480,560","5,220","1,340",120,"3,760",0,"71,870","254,110","73,482,730","848,000","74,201,091","735,030","55,967,004","437,650","367,317","238,780","966,330","222,540","701,401","280,080","282,307","121,110","1,581,956","199,930","910,169","115,690","1,940,924","223,390","7,206,825","3,290","27,600","142,385","193,130","4,080,195","55,360","656,348","226,220","718,361","45,420","11,514","5,830","78,355","18,600","139,501","24,500","140,640","82,150","87,021","3,840","7,652","2,070","12,389","546,500","10,979,761","69,920","701,711","489,810","2,886,331","50,860","80,513","358,730","2,514,490","546,020","5,548,304","28,100","28,461","297,500","2,046,884","7,430","33,294","9,390","7,217","26,130","44,784","7,870","13,911","439,100","1,195,642","220,610","1,276,473","13,860","101,961","845,190","52,298,689","842,830","8,269,689","10,510","15,056","5,540","11,802","293,410","421,170","69,890","13,650","47,950","29,167","61,560","84,585",0,0,"178,670","267,438","13,850","15,402","88,390","293,776","3,370","10,042","7,280","23,341","13,470","17,269","838,470","9,916,084",0,0,0,0,"6,520","11,001","47,580","44,985",630,899,"835,080","7,848,523","838,630","8,200,974",550,489,330,"1,410","201,920","603,427","643,980","2,306,364","624,070","2,211,258","25,520","95,106"
NY,7,"1,309,360","329,920","858,250","93,660","1,225,610","40,960","923,930","745,930","3,148,060","981,080","3,170",810,110,"2,250",0,"64,330","395,110","179,003,932","1,309,360","180,935,718","1,157,870","134,967,516","869,710","1,007,250","519,700","3,075,451","490,800","2,330,008","597,270","791,304","232,560","4,508,425","447,660","3,659,714","209,010","5,153,632","367,250","16,323,280","4,430","38,350","198,662","283,790","7,201,535","143,290","3,119,764","436,430","1,931,786","110,670","30,265","21,660","377,741","42,810","400,035","46,180","271,551","126,400","148,625","21,050","40,689","5,910","36,492","1,122,890","31,182,837","92,230","1,149,292","1,048,450","9,879,247","66,690","133,819","861,760","7,632,511","1,122,430","17,800,777","51,470","51,863","729,600","6,052,448","17,350","79,951","29,220","18,700","8,530","7,770","27,950","65,538","969,420","3,239,321","405,230","2,473,913","29,420","275,335","1,306,610","132,933,577","1,304,620","23,935,283","117,750","271,449","3,910","11,726","505,830","617,600","176,100","62,450","114,070","69,704","105,060","154,117",0,0,"190,240","243,234","29,220","43,528","177,900","778,505",450,"1,004","4,830","14,666","10,470","20,565","1,299,160","27,157,636",0,0,0,0,"2,490","4,200","93,660","93,833",60,99,"1,300,700","23,317,740","1,303,250","24,249,285","21,990","5,551","8,890","5,387","379,300","1,811,281","927,310","4,684,400","875,730","4,262,488","65,350","421,912"
NY,8,"451,700","81,790","350,390","13,470","426,630","14,850","344,580","146,620","1,215,230","413,330",170,40,10,110,0,"5,630","130,260","129,588,367","451,700","131,745,862","403,520","92,248,432","370,830","1,067,258","281,010","3,796,718","269,920","2,978,965","175,630","526,586","106,420","5,505,720","263,430","6,560,013","80,200","3,518,001","105,620","6,671,409","1,310","8,220","47,999","81,270","2,413,220","117,180","7,997,236","156,700","2,157,495","34,150","9,667","29,310","853,283","36,260","487,934","9,600","85,313",0,0,0,0,"7,040","71,134","443,130","22,707,500","17,290","430,601","431,450","9,882,495","10,130","28,573","355,610","4,920,125","443,000","14,902,352","16,330","17,581","294,260","3,670,075","7,670","56,008","15,320","7,937",0,0,"33,250","164,679","399,740","2,506,814","106,650","1,062,455","13,370","246,521","450,820","102,934,649","451,050","25,685,825","368,400","2,537,188",530,"1,697","185,630","268,323","132,700","163,565","52,530","32,808",0,0,0,0,270,303,"9,440","19,017","99,190","808,778",0,0,700,"2,163","2,090","6,999","448,360","26,160,331",0,0,0,0,0,0,0,0,0,0,"450,640","25,417,502","451,360","26,726,714","224,620","181,418","240,600","220,951","224,450","2,815,695","225,530","2,215,508","177,680","1,332,954","55,980","882,554"
NY,9,"83,060","12,760","66,790","2,230","78,640","2,930","71,300","13,240","235,600","85,820",0,0,0,0,0,160,"24,470","56,532,599","83,060","57,786,501","71,870","34,332,789","77,400","737,488","67,840","2,379,979","65,800","1,872,825","35,950","379,479","22,340","2,711,665","68,070","5,514,289","14,470","957,621","13,810","905,255",280,660,"4,468","13,110","411,433","43,300","8,461,338","37,040","1,253,902","1,660",421,"11,900","570,065","13,680","239,452","1,810","17,537",0,0,0,0,"3,860","74,952","82,040","9,136,084","1,130","74,707","81,230","5,261,361",640,"2,622","69,110","1,658,013","82,010","6,941,339","2,440","3,533","55,190","1,033,952","1,860","25,863","2,880","1,391",0,0,"17,110","173,099","76,650","1,256,219","13,980","426,558","5,000","118,218","82,850","47,464,123","83,000","14,302,720","56,570","916,566",50,170,"50,350","242,548","42,600","185,984","8,590","5,483",0,0,0,0,0,0,"1,130","2,842","27,770","406,596",0,0,70,210,350,"1,705","82,430","14,652,656",0,0,0,0,0,0,0,0,0,0,"82,900","14,060,193","83,040","15,004,649","66,170","223,577","72,680","277,731","44,580","1,655,736","38,130","1,281,551","17,460","401,351","22,840","880,200"
NY,10,"53,480","7,360","43,450","1,370","50,350","2,150","49,950","7,840","157,750","60,820",0,0,0,0,0,40,"16,680","220,647,586","53,480","222,835,437","43,240","70,057,670","52,360","8,579,499","48,570","13,323,536","47,440","9,485,267","35,720","2,000,548","13,470","5,524,810","49,540","64,548,672","8,540","791,240","7,870","656,538",300,180,"1,268","8,280","268,279","40,400","44,812,765","29,770","2,187,851",380,95,"10,410","728,236","13,290","295,748","1,110","11,065",0,0,0,0,"6,420","418,275","52,880","38,730,851",260,"34,714","52,470","25,834,221",310,"6,308","47,440","2,318,530","52,860","28,205,586","1,890","4,343","35,070","789,446","1,450","27,802","1,740","1,092",0,0,"23,150","2,103,894","50,870","11,404,006","10,190","1,950,169","9,250","227,855","53,330","182,192,586","53,460","59,029,662","12,830","1,621,308",20,71,"40,700","1,853,440","37,170","1,565,000","4,030","2,717",0,0,0,0,0,0,450,"4,345","22,440","995,116",0,0,20,79,210,"1,279","53,220","66,919,663",0,0,0,0,0,0,0,0,0,0,"53,390","57,176,221","53,460","61,420,413","42,490","652,505","49,350","2,494,075","19,480","3,289,362","33,850","8,613,449","10,780","1,479,839","25,350","7,133,610"
NC,0,"4,577,930","2,027,870","1,700,910","745,760","4,077,120","284,650","2,289,510","2,853,810","8,916,490","2,914,060","98,460","35,900","14,600","47,970","8,360","766,970","1,092,600","286,383,403","4,563,460","290,520,302","3,806,090","203,715,940","1,279,470","1,881,904","783,330","6,114,492","738,290","4,795,859","629,710","661,623","788,950","8,283,085","711,010","16,219,056","467,730","8,315,205","900,400","20,948,265","41,340","71,650","206,260","643,030","9,469,514","250,620","15,724,534","1,138,830","4,136,899","105,830","26,855","23,860","552,784","126,930","892,081","77,530","368,907","347,620","375,102","29,160","68,842","15,990","417,170","1,336,180","33,992,755","343,630","3,395,610","1,186,630","8,956,686","121,810","127,635","1,169,780","3,744,882","1,331,960","13,310,885","994,030","413,675","1,016,020","7,654,266","19,280","84,603","64,680","33,119","75,800","98,421","38,050","226,430","1,122,640","7,271,726","329,260","2,672,087","20,000","228,630","3,486,990","199,624,652","3,486,450","38,581,198","114,570","597,262","140,400","165,279","1,441,060","1,678,189","255,180","213,104","214,930","114,776","260,650","267,592","335,130","59,646","704,290","824,772","43,300","35,162","586,890","1,590,319","268,900","2,180,353","293,200","2,382,388","141,980","110,702","4,355,060","45,679,064","932,590","2,311,342","804,270","2,002,565","633,870","830,620","240,380","209,319","110,490","80,531","3,124,490","36,903,060","3,410,590","39,343,242","94,770","173,649","106,860","394,455","931,200","4,668,107","3,524,180","10,809,671","3,454,050","9,540,525","91,470","1,269,146"
NC,1,"56,090","32,640","19,120","2,420","40,870","8,440","35,380","13,980","85,200","12,570",830,390,30,410,10,"2,340","27,290","-3,523,835","41,620","-3,407,423","12,500","399,929","16,740","161,681","11,240","82,846","10,380","61,072","2,110","6,731","21,400","-321,816","15,730","222,044","5,000","73,579","7,020","78,744","3,440",280,868,130,450,"9,860","-901,773","11,760","116,412",250,63,80,988,"3,060","16,574",330,"1,705","2,040","2,301","1,830","6,511",90,"66,844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,320","2,544",100,"1,704","2,100",716,350,355,20,8,0,0,70,39,30,19,200,126,0,0,"6,440","13,990","11,140","112,390","11,820","115,031",70,39,"26,980","105,054","4,860","5,297","3,110","3,626","1,900","2,831","2,580","2,408","7,720","7,289","2,040","2,189","9,320","18,185",250,457,40,198,"5,840","8,490","24,630","95,268","23,640","76,409","1,310","18,859"
NC,2,"637,890","506,260","52,300","70,970","548,340","48,400","273,410","367,660","624,300","151,420","20,900","8,640",970,"11,290","3,480","97,640","112,000","3,395,349","637,890","3,487,796","490,960","2,722,380","78,680","31,898","47,690","61,329","44,090","42,305","5,630","3,171","102,360","344,609","42,020","25,955","29,520","120,878","57,810","268,419","2,730","5,530","10,222","1,810","8,067","7,280","-18,949","98,380","92,447",920,205,150,490,"7,050","19,341","1,430","4,395","9,150","8,173","5,590","16,337",180,288,"23,590","366,187","18,130","170,591","7,630","12,088","11,290","6,292","16,480","39,069","22,400","61,863","12,730","3,843","12,250","72,630",240,"1,124",550,187,"1,280","1,877",410,682,"15,720","24,527","9,720","30,138",300,"1,570","65,900","115,007","68,870","14,452",20,25,"8,050","3,178","4,970",683,"3,020",120,30,11,900,255,250,51,530,202,70,18,"82,590","64,032","36,490","312,199","38,280","320,140",470,252,"553,520","653,899","214,330","262,699","188,890","230,325","71,720","47,988","24,310","20,500","22,610","11,731","67,030","13,770","152,360","79,989",30,18,30,50,"58,240","28,433","521,910","502,136","520,130","498,548","2,380","3,588"
NC,3,"1,043,400","571,730","155,020","295,650","934,680","60,760","505,080","759,920","1,823,540","676,550","33,320","12,980","3,360","16,980","3,390","263,860","213,010","17,912,626","1,043,400","18,184,785","835,320","13,956,751","137,110","82,348","70,420","154,836","64,880","107,182","19,290","9,635","189,870","1,481,244","60,530","108,839","68,050","499,703","155,020","1,611,778","5,050","21,440","52,627","76,410","142,925","15,770","28,833","207,320","272,159","6,170","1,429",440,"2,795","15,620","42,647","6,470","20,124","37,250","33,045","3,390","8,539",370,614,"76,700","1,213,495","52,190","461,701","40,290","46,186","29,950","20,059","54,390","117,878","75,430","201,208","46,890","14,779","40,120","221,552",850,"3,912","1,630",980,"4,260","5,460",900,"1,421","57,200","164,075","25,020","143,227",930,"6,381","632,930","3,942,059","636,280","425,253",160,188,"42,130","14,456","204,160","63,844","8,310",416,"13,850","4,420","48,460","25,210","85,400","14,198","59,240","18,394","2,100",801,"154,430","261,436","106,300","821,382","109,620","842,001","42,350","23,688","982,830","3,146,589","425,910","1,435,645","377,890","1,267,476","315,230","433,513","57,260","48,445","48,260","28,241","512,680","361,423","641,490","652,114",90,101,50,160,"102,890","113,832","911,940","2,603,735","908,280","2,594,351","5,300","9,384"
