table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,1,"All returns, total",10,44567263.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,2,"Under $5,000",11,317443.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,3,"$5,000 under $10,000",12,384355.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,4,"$10,000 under $15,000",13,662599.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,5,"$15,000 under $20,000",14,811728.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,6,"$20,000 under $25,000",15,941085.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,7,"$25,000 under $30,000",16,1081500.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,8,"$30,000 under $35,000",17,1192479.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,9,"$35,000 under $40,000",18,1372832.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,10,"$40,000 under $45,000",19,1463063.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,11,"$45,000 under $50,000",20,1520466.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,12,"$50,000 under $55,000",21,1535092.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,13,"$55,000 under $60,000",22,1546349.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,14,"$60,000 under $75,000",23,4436701.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,15,"$75,000 under $100,000",24,6957567.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,16,"$100,000 under $200,000",25,14038259.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,17,"$200,000 under $500,000",26,5083499.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,18,"$500,000 under $1,000,000",27,821784.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,19,"$1,000,000 under $1,500,000",28,177407.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,20,"$1,500,000 under $2,000,000",29,71685.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,21,"$2,000,000 under $5,000,000",30,106755.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,22,"$5,000,000 under $10,000,000",31,27125.0
tab21,2015,15in21id.xls,id,count,nz,all,Number of returns with itemized deductions,Number of returns,B,2,23,"$10,000,000 or more",32,17490.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,1,"All returns, total",10,8776985.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,2,"Under $5,000",11,227519.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,3,"$5,000 under $10,000",12,279663.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,4,"$10,000 under $15,000",13,463596.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,5,"$15,000 under $20,000",14,490746.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,6,"$20,000 under $25,000",15,500858.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,7,"$25,000 under $30,000",16,532022.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,8,"$30,000 under $35,000",17,462326.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,9,"$35,000 under $40,000",18,457498.0
tab21,2015,15in21id.xls,id_medical_capped,count,nz,all,Medical expenses (deductible/capped) — number of returns,Itemized deductions | Medical and dental expenses deduction | Total after subtracting AGI limitation | Number of returns,BK,63,10,"$40,000 under $45,000",19,452333.0
