varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,701413.4021128914
c00100,1,1,-9e99,1,0,9812.551047160016
c00100,1,1,1,10000,0,28317.50897858719
c00100,1,1,10000,25000,0,47010.163617393555
c00100,1,1,25000,50000,0,62596.499922620795
c00100,1,1,50000,75000,0,50822.95724521369
c00100,1,1,75000,100000,0,39599.38717838521
c00100,1,1,100000,200000,0,75943.78204203659
c00100,1,1,200000,500000,0,53477.03876917871
c00100,1,1,500000,9e99,0,30804.02231554554
c00100,0,1,1,10000,0,132553275.38786794
c00100,0,1,10000,25000,0,826259683.738583
c00100,0,1,25000,50000,0,2298899863.0390606
c00100,0,1,50000,75000,0,3163100331.0512834
c00100,0,1,75000,100000,0,3434938331.3460045
c00100,0,1,100000,200000,0,10684641238.634546
c00100,0,1,200000,500000,0,16368773689.159952
c00100,0,1,500000,9e99,0,98354614681.83269
c00100,1,1,-9e99,1,1,6938.801158618295
c00100,1,1,1,10000,1,24022.80613236835
c00100,1,1,10000,25000,1,34757.613695145
c00100,1,1,25000,50000,1,42545.162680673915
c00100,1,1,50000,75000,1,38241.279440672464
c00100,1,1,75000,100000,1,30207.67171364856
c00100,1,1,100000,200000,1,52398.43190697951
c00100,1,1,200000,500000,1,27160.249154916568
c00100,1,1,500000,9e99,1,8247.643635609369
c00100,1,1,-9e99,1,2,1827.321740626033
c00100,1,1,1,10000,2,2262.533326256989
c00100,1,1,10000,25000,2,5853.533570170799
c00100,1,1,25000,50000,2,10858.671710298488
c00100,1,1,50000,75000,2,7065.740976087315
c00100,1,1,75000,100000,2,5824.969747209742
c00100,1,1,100000,200000,2,17752.698910428197
c00100,1,1,200000,500000,2,22970.862730427325
c00100,1,1,500000,9e99,2,20675.752907794496
c00100,1,1,-9e99,1,4,534.4874382040584
c00100,1,1,1,10000,4,1265.2034675596994
c00100,1,1,10000,25000,4,5171.220479601343
c00100,1,1,25000,50000,4,7342.768051235611
c00100,1,1,50000,75000,4,3818.023852709768
c00100,1,1,75000,100000,4,2180.7250087681523
c00100,1,1,100000,200000,4,2985.462347559114
c00100,1,1,200000,500000,4,1642.324820753434
c00100,1,1,500000,9e99,4,926.5568274498504
e00200,0,1,-9e99,1,0,148028860.58245602
e00200,0,1,1,10000,0,92255881.44814952
e00200,0,1,10000,25000,0,399766950.045921
e00200,0,1,25000,50000,0,1520160235.9938912
e00200,0,1,50000,75000,0,2474946456.36051
e00200,0,1,75000,100000,0,2726304430.4968777
e00200,0,1,100000,200000,0,8188828076.769809
e00200,0,1,200000,500000,0,11860972288.93085
e00200,0,1,500000,9e99,0,28703247624.489586
e26270,0,1,50000,75000,0,6016157.14264047
e26270,0,1,75000,100000,0,7051222.67402743
e26270,0,1,100000,200000,0,79621310.71312454
e26270,0,1,200000,500000,0,412300360.4548559
e26270,0,1,500000,9e99,0,8822729278.292772
e18400,0,1,10000,25000,0,16424612.89957008
e18400,0,1,25000,50000,0,39603359.4321621
e18400,0,1,50000,75000,0,55947933.75799136
e18400,0,1,75000,100000,0,88593438.57562222
e18400,0,1,100000,200000,0,582033440.3849096
e18400,0,1,200000,500000,0,1232576647.4251978
e18400,0,1,500000,9e99,0,11093531276.640217
e18500,0,1,10000,25000,0,27837626.85995105
e18500,0,1,25000,50000,0,50698794.36003405
e18500,0,1,50000,75000,0,59269382.591485575
e18500,0,1,75000,100000,0,71975637.28723827
e18500,0,1,100000,200000,0,312832782.94782114
e18500,0,1,200000,500000,0,446151465.18936455
e18500,0,1,500000,9e99,0,870045547.0723026
